company,h-index,repo count,contributor count,location,country,employee,top_language
fiserv,3,44,619,United States of America,,,JavaScript
prometheus,35,44,1981,,,,Go
traefik,18,44,1073,Earth,,,Go
metafizzy,21,44,110,"Alexandria, VA",,,JavaScript
expensify,5,43,1707,"San Francisco, Ironwood, Denver, London, Berlin, Melbourne, Portland",,,JavaScript
adyen,20,42,384,"Amsterdam, Netherlands",,,PHP
ubisoft,17,42,2204,,,,Python
riskified,3,42,1183,,,,Ruby
reactiveX,36,42,1535,,,,Java
ramotion,35,42,122,"San Francisco, CA",,,Swift
open-mmlab,35,42,1067,,,,Python
riot,17,41,336,,,,JavaScript
expressjs,31,41,955,,,,JavaScript
istio,20,40,1456,,,,Go
shotspotter,1,38,1924,,,,C
googlechrome,32,38,1517,,,,JavaScript
julialang,23,38,2040,,,,Julia
bumptech,11,38,350,"Mountain View, CA",,,Haskell
factset,6,37,352,"Norwalk, CT",,,Python
prettier,23,37,1233,,,,JavaScript
swagger-api,22,37,1944,,,,Java
eleme,20,36,279,Shanghai,China,15000,Java
amd,13,36,1254,,USA,15500,C
workday,12,36,721,"Pleasanton, California",,,Java
cimpress,4,36,106,,,,JavaScript
thealgorithms,34,36,2536,India,,,Python
nestjs,35,36,1254,,,,TypeScript
logitech,12,35,415,,,,C
secureworks,11,35,622,,,,Python
homebrew,26,35,2294,GitHub,,,Ruby
webtorrent,21,35,359,npm install webtorrent,,,JavaScript
fastlane,15,35,722,,,,Ruby
meituan-dianping,23,34,216,"Beijing, China",China,8000,Java
styled-components,25,34,838,,,,JavaScript
mobxjs,28,34,797,,,,TypeScript
fortawesome,12,32,815,United States of America,,,JavaScript
zhihu,16,31,591,"Beijing, China",China,2649,Java
pegasystems,10,31,140,"Cambridge, MA",,,Java
avalara,3,30,761,Seattle,,,JavaScript
globant,3,30,65,,,,Java
jgraph,16,30,447,United Kingdom,,,Java
youtube,16,29,426,,USA,2000,Java
gohugoio,10,29,764,,,,Go
ansys,5,28,46,,,,Python
ebookfoundation,11,28,876,virtual,,,Python
flutter,24,28,1797,,,,Dart
h5bp,27,28,854,,,,JavaScript
jobbole,26,27,123,ShangHai,China,1000,Makefile
Instagram,15,27,1453,"San Francisco, CA",USA,450,Python
redis,18,27,1716,,,,Python
graphql,21,27,1215,"Menlo Park, CA",,,TypeScript
wayfair,13,26,227,"Boston, MA // Berlin, Germany",,,JavaScript
mapmyindia,2,26,22,India,,,Java
netgear,2,26,1532,"San Jose, California",,,C
moby,17,26,1493,,,,Go
akveo,18,26,209,United States of America,,,TypeScript
neovim,19,26,1780,,,,C
scrapy,18,26,660,,,,Python
markforged,2,25,1713,United States of America,,,JavaScript
ncsoft,9,25,205,"Seoul, Korea",,,C++
twbs,21,25,595,San Francisco,,,JavaScript
visionmedia,21,25,333,,,,JavaScript
sequelize,14,25,741,,,,JavaScript
grpc,21,24,1422,,,,JavaScript
tastejs,16,24,420,From a galaxy far far away,,,JavaScript
trainline,6,23,106,"London, Paris, Bangalore, Porto, ...",,,Python
matterport,5,23,157,"Sunnyvale, CA",,,Python
zynga,14,22,60,"San Francisco, CA",USA,1777,JavaScript
anjuke,9,22,62,Shanghai,China,50,Python
23andme,8,22,811,"Sunnyvale, CA",,,Python
egain,1,22,13,Sunnyvale CA,,,JavaScript
django,18,22,954,Internet,,,Python
syncthing,11,22,513,,,,Go
definitelytyped,10,22,448,,,,TypeScript
afnetworking,19,22,385,,,,Objective-C
taobao,10,21,112,"Hangzhou, China",China,9999,Java
reduxjs,18,21,1176,The Moon,,,JavaScript
encode,18,21,965,,,,Python
overstock,4,20,929,"Salt Lake City, UT",,,JavaScript
veeva,3,20,9,,,,Java
chartjs,15,20,544,,,,JavaScript
iqiyi,18,19,207,"Beijing, China",China,7721,Java
weibocom,12,19,146,Beijing,China,6147,Java
faceplusplus,11,19,24,,China,2000,Java
truecaller,4,19,662,,,,Java
keysight,2,19,827,"Santa Rosa, California",,,HCL
ncino,2,19,840,"Wilmington, NC",,,JavaScript
obsproject,12,19,828,,,,C++
composer,16,19,785,,,,PHP
gorilla,18,19,350,The World,,,Go
seleniumHQ,13,19,1148,,,,Java
microstrategy,6,18,28,"Tysons Corner, VA",,,JavaScript
HujiangTechnology,8,18,179,shanghai,China,50,Java
spirent,5,18,47,Global,,,Python
