company,h-index,repo count,contributor count,location,top_language,,h-index,repo count,contributor count,,h-index diff,repo-count diff,contributor diff
sony,24,50,447,"Minato-ku, Tokyo, Japan",Python,,26,50,1039,,-2,0,-592
jquery,26,50,1042,,JavaScript,,26,50,1295,,0,0,-253
nuxt,36,50,1895,Global,JavaScript,,24,49,445,,12,1,1450
locaweb,12,49,130,São Paulo,Ruby,,12,49,130,,0,0,0
webpack,31,49,1308,,JavaScript,,31,49,1306,,0,0,2
valvesoftware,41,49,951,,C++,,35,49,1882,,6,0,-931
zalando,41,48,982,"Berlin, Dublin, Helsinki, Dortmund, Erfurt, Mönchengladbach, Hamburg",Java,,40,49,952,,1,-1,30
dianping,15,48,1066,"Shanghai, China",Java,,41,48,977,,-26,0,89
zomato,4,48,2852,"Gurgaon, India",Go,,15,48,1068,,-11,0,1784
dcloudio,28,48,881,"Beijing,China",JavaScript,,4,48,2855,,24,0,-1974
applovin,8,47,1361,"Palo Alto, CA",Ruby,,28,48,879,,-20,-1,482
genymobile,9,47,1286,"Paris, Lyon, San Francisco",C,,8,47,1361,,1,0,-75
dmlc,34,47,1766,,C++,,9,47,1282,,25,0,484
yeoman,35,47,1005,,JavaScript,,34,47,1760,,1,0,-755
qunarcorp,16,46,96,"Beijing, China",JavaScript,,35,47,1004,,-19,-1,-908
clarivate,6,46,1477,,Python,,16,46,96,,-10,0,1381
similarweb,6,46,1526,Tel Aviv,JavaScript,,6,46,1477,,0,0,49
socketio,24,46,987,Automattic,JavaScript,,6,46,1527,,18,0,-540
pivotal,12,45,2149,"San Francisco, CA",Go,,24,46,987,,-12,-1,1162
fiserv,3,45,620,United States of America,JavaScript,,12,45,2151,,-9,0,-1531
godotengine,32,45,1508,Worldwide,C++,,32,45,1503,,0,0,5
ctripcorp,24,44,532,"Shanghai, China",Java,,24,44,532,,0,0,0
prometheus,35,44,2010,,Go,,3,44,619,,32,0,1391
traefik,18,44,1074,Earth,Go,,35,44,1981,,-17,0,-907
metafizzy,21,44,110,"Alexandria, VA",JavaScript,,18,44,1073,,3,0,-963
adyen,19,43,385,"Amsterdam, Netherlands",PHP,,21,44,110,,-2,-1,275
expensify,5,43,1714,"San Francisco, Ironwood, Denver, London, Berlin, Melbourne, Portland",JavaScript,,5,43,1707,,0,0,7
ubisoft,17,42,2203,,Python,,20,42,384,,-3,0,1819
riskified,3,42,1182,,Ruby,,17,42,2204,,-14,0,-1022
reactiveX,37,42,1533,,Java,,3,42,1183,,34,0,350
ramotion,35,42,122,"San Francisco, CA",Swift,,36,42,1535,,-1,0,-1413
open-mmlab,36,42,1083,,Python,,35,42,122,,1,0,961
alipay,23,41,1257,"Hangzhou, China",Java,,35,42,1067,,-12,-1,190
riot,17,41,336,,JavaScript,,17,41,336,,0,0,0
expressjs,31,41,954,,JavaScript,,31,41,955,,0,0,-1
istio,20,40,1457,,Go,,20,40,1456,,0,0,1
shotspotter,1,38,1923,,C,,1,38,1924,,0,0,-1
googlechrome,33,38,1531,,JavaScript,,32,38,1517,,1,0,14
julialang,23,38,2045,,Julia,,23,38,2040,,0,0,5
bumptech,11,38,348,"Mountain View, CA",Haskell,,11,38,350,,0,0,-2
